slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
cross_market_pair.us,us,trading_beta.v0,2026-07,2026-08,True,26,0.9891,1e-05,"mc-permutation(n=26,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-01,2024-02,True,35,0.9549,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-02,2024-03,True,35,0.9501,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-03,2024-04,True,35,0.9793,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-04,2024-05,True,35,0.9686,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-05,2024-06,True,35,0.8986,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-06,2024-07,True,35,0.7168,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-07,2024-08,True,35,0.7616,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-08,2024-09,True,35,0.8235,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-09,2024-10,True,35,0.2381,0.16902,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-10,2024-11,True,35,0.9092,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-11,2024-12,True,35,0.9835,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2024-12,2025-01,True,35,0.1196,0.4951,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
