sample,phase,horizon,asset,n,mean_return,median_return,positive_rate,mean_excess_spy,excess_hit_rate
expanded_1999_2025,midterm,jul_dec,QQQ,6,0.04877897029555239,0.030107234721737486,0.5,0.003895238160732728,0.5
expanded_1999_2025,midterm,jul_dec,SPY,6,0.044883732134819665,0.0417375694023947,0.6666666666666666,0.0,0.0
expanded_1999_2025,midterm,jul_dec,XLK,6,0.05108983453106045,0.03632630051932462,0.5,0.006206102396240791,0.6666666666666666
expanded_1999_2025,midterm,jul_dec,XLP,6,0.05253097867375258,0.06885378124868569,0.8333333333333334,0.007647246538932913,0.6666666666666666
expanded_1999_2025,midterm,jul_dec,XLU,6,0.040369408661055595,0.061224622607555346,0.8333333333333334,-0.00451432347376407,0.5
expanded_1999_2025,midterm,jul_dec,XLV,6,0.07584343883150584,0.09155261359238343,0.8333333333333334,0.030959706696686167,0.6666666666666666
expanded_1999_2025,midterm,q2,DEF,6,-0.025980257067369505,-0.01921872450660206,0.5,0.029973634683813328,0.8333333333333334
expanded_1999_2025,midterm,q2,QQQ,6,-0.08963440752226078,-0.09223887282286614,0.3333333333333333,-0.033680515771077946,0.5
expanded_1999_2025,midterm,q2,SPY,6,-0.05595389175118284,-0.0644440374082767,0.3333333333333333,0.0,0.0
expanded_1999_2025,midterm,q2,XLK,6,-0.0896647947366732,-0.09775595226201528,0.3333333333333333,-0.033710902985490364,0.3333333333333333
expanded_1999_2025,midterm,q2,XLP,6,-0.03443460894016701,-0.02753215322155078,0.3333333333333333,0.02151928281101582,0.5
expanded_1999_2025,midterm,q2,XLU,6,-0.0081033686004644,0.00017306850926346318,0.5,0.04785052315071844,1.0
expanded_1999_2025,midterm,q2,XLV,6,-0.03667027659450419,-0.05543577561415569,0.3333333333333333,0.019283615156678646,0.3333333333333333
expanded_1999_2025,post_election,apr_oct,DEF,7,0.06102634889240593,0.05866029126531136,0.8571428571428571,-0.06512320287277933,0.2857142857142857
expanded_1999_2025,post_election,apr_oct,QQQ,7,0.17195408227071438,0.20779031462237274,0.8571428571428571,0.04580453050552913,0.8571428571428571
expanded_1999_2025,post_election,apr_oct,SPY,7,0.12614955176518525,0.13347469586180605,0.8571428571428571,0.0,0.0
expanded_1999_2025,post_election,apr_oct,XLK,7,0.1755482567436886,0.1898222560160805,0.8571428571428571,0.04939870497850334,0.7142857142857143
expanded_1999_2025,post_election,apr_oct,XLP,7,0.04866304003914842,0.01642066752506799,0.7142857142857143,-0.07748651172603684,0.14285714285714285
expanded_1999_2025,post_election,apr_oct,XLU,7,0.06281483711082866,0.09123043165582057,0.8571428571428571,-0.0633347146543566,0.14285714285714285
expanded_1999_2025,post_election,apr_oct,XLV,7,0.06932784934731206,0.09913734153785336,0.7142857142857143,-0.056821702417873196,0.14285714285714285
expanded_1999_2025,post_election,full_year,DEF,7,0.13008659021527383,0.1560635050111574,0.8571428571428571,-0.04117411144811868,0.2857142857142857
expanded_1999_2025,post_election,full_year,QQQ,7,0.20056395730358048,0.2741974397960669,0.8571428571428571,0.029303255640188004,0.5714285714285714
expanded_1999_2025,post_election,full_year,SPY,7,0.1712607016633925,0.21705344779138724,0.8571428571428571,0.0,0.0
expanded_1999_2025,post_election,full_year,XLK,7,0.21071840116027,0.26241196558630175,0.7142857142857143,0.03945769949687748,0.5714285714285714
expanded_1999_2025,post_election,full_year,XLP,7,0.0931497509480138,0.12981996478527424,0.8571428571428571,-0.0781109507153787,0.14285714285714285
expanded_1999_2025,post_election,full_year,XLU,7,0.10561199916686408,0.13065731202098663,0.8571428571428571,-0.06564870249652842,0.14285714285714285
